clivi,cf3hr,atmosphere_cloud_ice_content,Ice Water Path,1&2&,0&1&14&,time: point,
rtmt,cf3hr,net_downward_radiative_flux_at_top_of_atmosphere_model,Net Downward Flux at Top of Model,6&2&,0&1&14&,time: point,
ccb,cf3hr,air_pressure_at_convective_cloud_base,Air Pressure at Convective Cloud Base,0&,0&1&14&,time: point,
cct,cf3hr,air_pressure_at_convective_cloud_top,Air Pressure at Convective Cloud Top,0&,0&1&14&,time: point,
ci,cf3hr,convection_time_fraction,Fraction of Time Convection Occurs,9&,0&1&14&,time: point,
sci,cf3hr,shallow_convection_time_fraction,Fraction of Time Shallow Convection Occurs,9&,0&1&14&,time: point,
fco2antt,cf3hr,tendency_of_atmosphere_mass_content_of_carbon_dioxide_expressed_as_carbon_due_to_anthropogenic_emission,Carbon Mass Flux into Atmosphere Due to All Anthropogenic Emissions of CO2,1&2&3&,0&1&14&,time: point,
fco2fos,cf3hr,tendency_of_atmosphere_mass_content_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_fossil_fuel_combustion,Carbon Mass Flux into Atmosphere Due to Fossil Fuel Emissions of CO2,1&2&3&,0&1&14&,time: point,
fco2nat,cf3hr,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_natural_sources,Surface Carbon Mass Flux into the Atmosphere Due to Natural Sources,1&2&3&,0&1&14&,time: point,
cltc,cf3hr,convective_cloud_area_fraction,Convective Cloud Fraction,7&,0&1&14&,time: point,100.0
zfull,cf3hr,height_above_reference_ellipsoid,Altitude of Model Full-Levels,5&,0&1&15&14&,time: point,
zhalf,cf3hr,height_above_reference_ellipsoid,Altitude of Model Half-Levels,5&,0&1&26&14&,time: point,
pfull,cf3hr,air_pressure,Pressure at Model Full-Levels,0&,0&1&15&14&,time: point,
phalf,cf3hr,air_pressure,Pressure at Model Half-Levels,0&,0&1&26&14&,time: point,
ta,cf3hr,air_temperature,Air Temperature,4&,0&1&15&14&,time: point,
h2o,cf3hr,mass_fraction_of_water_in_air,Mass Fraction of Water,9&,0&1&15&14&,time: point,
clws,cf3hr,mass_fraction_of_stratiform_cloud_liquid_water_in_air,Mass Fraction of Stratiform Cloud Liquid Water,9&,0&1&15&14&,time: point,
clis,cf3hr,mass_fraction_of_stratiform_cloud_ice_in_air,Mass Fraction of Stratiform Cloud Ice,9&,0&1&15&14&,time: point,
clwc,cf3hr,mass_fraction_of_convective_cloud_liquid_water_in_air,Mass Fraction of Convective Cloud Liquid Water,9&,0&1&15&14&,time: point,
clic,cf3hr,mass_fraction_of_convective_cloud_ice_in_air,Mass Fraction of Convective Cloud Ice,9&,0&1&15&14&,time: point,
reffclws,cf3hr,effective_radius_of_stratiform_cloud_liquid_water_particle,Hydrometeor Effective Radius of Stratiform Cloud Liquid Water,5&,0&1&15&14&,time: point,
reffclis,cf3hr,effective_radius_of_stratiform_cloud_ice_particle,Hydrometeor Effective Radius of Stratiform Cloud Ice,5&,0&1&15&14&,time: point,
reffclwc,cf3hr,effective_radius_of_convective_cloud_liquid_water_particle,Hydrometeor Effective Radius of Convective Cloud Liquid Water,5&,0&1&15&14&,time: point,
reffclic,cf3hr,effective_radius_of_convective_cloud_ice_particle,Hydrometeor Effective Radius of Convective Cloud Ice,5&,0&1&15&14&,time: point,
grpllsprof,cf3hr,large_scale_graupel_flux,Stratiform Graupel Flux,1&2&3&,0&1&26&14&,time: point,
prcprof,cf3hr,convective_rainfall_flux,Convective Rainfall Flux,1&2&3&,0&1&26&14&,time: point,
prlsprof,cf3hr,large_scale_rainfall_flux,Stratiform Rainfall Flux,1&2&3&,0&1&26&14&,time: point,
prsnc,cf3hr,convective_snowfall_flux,Convective Snowfall Flux,1&2&3&,0&1&26&14&,time: point,
prlsns,cf3hr,large_scale_snowfall_flux,Stratiform Snowfall Flux,1&2&3&,0&1&26&14&,time: point,
reffgrpls,cf3hr,effective_radius_of_stratiform_cloud_graupel_particle,Hydrometeor Effective Radius of Stratiform Graupel,5&,0&1&15&14&,time: point,
reffrainc,cf3hr,effective_radius_of_convective_cloud_rain_particle,Hydrometeor Effective Radius of Convective Rainfall,5&,0&1&15&14&,time: point,
reffrains,cf3hr,effective_radius_of_stratiform_cloud_rain_particle,Hydrometeor Effective Radius of Stratiform Rainfall,5&,0&1&15&14&,time: point,
reffsnowc,cf3hr,effective_radius_of_convective_cloud_snow_particle,Hydrometeor Effective Radius of Convective Snowfall,5&,0&1&15&14&,time: point,
reffsnows,cf3hr,effective_radius_of_stratiform_cloud_snow_particle,Hydrometeor Effective Radius of Stratiform Snowfall,5&,0&1&15&14&,time: point,
dtaus,cf3hr,atmosphere_optical_thickness_due_to_stratiform_cloud,Stratiform Cloud Optical Depth,9&,0&1&15&14&,time: point,
dtauc,cf3hr,atmosphere_optical_thickness_due_to_convective_cloud,Convective Cloud Optical Depth,9&,0&1&15&14&,time: point,
dems,cf3hr,stratiform_cloud_longwave_emissivity,Stratiform Cloud Emissivity,9&,0&1&15&14&,time: point,
demc,cf3hr,convective_cloud_longwave_emissivity,Convective Cloud Emissivity,9&,0&1&15&14&,time: point,
clc,cf3hr,convective_cloud_area_fraction_in_atmosphere_layer,Convective Cloud Area Fraction,7&,0&1&15&14&,time: point,
longitude,grids,longitude,longitude coordinate,17&,0&1&,,360.         !  see above comment.
latitude,grids,latitude,latitude coordinate,18&,0&1&,,90.
orog,cfSites,surface_altitude,Surface Altitude,5&,40&,,1.00E+04
tas,cfSites,air_temperature,Near-Surface Air Temperature,4&,40&14&34&,time: point,
ts,cfSites,surface_temperature,Surface Temperature,4&,40&14&,time: point,
psl,cfSites,air_pressure_at_sea_level,Sea Level Pressure,0&,40&14&,time: point,
ps,cfSites,surface_air_pressure,Surface Air Pressure,0&,40&14&,time: point,
uas,cfSites,eastward_wind,Eastward Near-Surface Wind,5&3&,40&14&35&,time: point,
vas,cfSites,northward_wind,Northward Near-Surface Wind,5&3&,40&14&35&,time: point,
sfcWind,cfSites,wind_speed,Near-Surface Wind Speed,5&3&,40&14&35&,time: point,
hurs,cfSites,relative_humidity,Near-Surface Relative Humidity,7&,40&14&34&,time: point,
huss,cfSites,specific_humidity,Near-Surface Specific Humidity,9&,40&14&34&,time: point,
pr,cfSites,precipitation_flux,Precipitation,1&2&3&,40&14&,time: point,
prsn,cfSites,snowfall_flux,Snowfall Flux,1&2&3&,40&14&,time: point,
prc,cfSites,convective_precipitation_flux,Convective Precipitation,1&2&3&,40&14&,time: point,
evspsbl,cfSites,water_evaporation_flux,Evaporation,1&2&3&,40&14&,time: point,
sbl,cfSites,surface_snow_and_ice_sublimation_flux,Surface Snow and Ice Sublimation Flux,1&2&3&,40&14&,time: point,
tauu,cfSites,surface_downward_eastward_stress,Surface Downward Eastward Wind Stress,0&,40&14&,time: point,
tauv,cfSites,surface_downward_northward_stress,Surface Downward Northward Wind Stress,0&,40&14&,time: point,
hfls,cfSites,surface_upward_latent_heat_flux,Surface Upward Latent Heat Flux,6&2&,40&14&,time: point,
hfss,cfSites,surface_upward_sensible_heat_flux,Surface Upward Sensible Heat Flux,6&2&,40&14&,time: point,
rlds,cfSites,surface_downwelling_longwave_flux_in_air,Surface Downwelling Longwave Radiation,6&2&,40&14&,time: point,
rlus,cfSites,surface_upwelling_longwave_flux_in_air,Surface Upwelling Longwave Radiation,6&2&,40&14&,time: point,
rsds,cfSites,surface_downwelling_shortwave_flux_in_air,Surface Downwelling Shortwave Radiation,6&2&,40&14&,time: point,
rsus,cfSites,surface_upwelling_shortwave_flux_in_air,Surface Upwelling Shortwave Radiation,6&2&,40&14&,time: point,
rsdscs,cfSites,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,Surface Downwelling Clear-Sky Shortwave Radiation,6&2&,40&14&,time: point,
rsuscs,cfSites,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky,Surface Upwelling Clear-Sky Shortwave Radiation,6&2&,40&14&,time: point,
rldscs,cfSites,surface_downwelling_longwave_flux_in_air_assuming_clear_sky,Surface Downwelling Clear-Sky Longwave Radiation,6&2&,40&14&,time: point,
rsdt,cfSites,toa_incoming_shortwave_flux,TOA Incident Shortwave Radiation,6&2&,40&14&,time: point,
rsut,cfSites,toa_outgoing_shortwave_flux,TOA Outgoing Shortwave Radiation,6&2&,40&14&,time: point,
rlut,cfSites,toa_outgoing_longwave_flux,TOA Outgoing Longwave Radiation,6&2&,40&14&,time: point,
rlutcs,cfSites,toa_outgoing_longwave_flux_assuming_clear_sky,TOA Outgoing Clear-Sky Longwave Radiation,6&2&,40&14&,time: point,
rsutcs,cfSites,toa_outgoing_shortwave_flux_assuming_clear_sky,TOA Outgoing Clear-Sky Shortwave Radiation,6&2&,40&14&,time: point,
prw,cfSites,atmosphere_water_vapor_content,Water Vapor Path,1&2&,40&14&,time: point,
clt,cfSites,cloud_area_fraction,Total Cloud Fraction,7&,40&14&,time: point,
clwvi,cfSites,atmosphere_cloud_condensed_water_content,Condensed Water Path,1&2&,40&14&,time: point,
clivi,cfSites,atmosphere_cloud_ice_content,Ice Water Path,1&2&,40&14&,time: point,
rtmt,cfSites,net_downward_radiative_flux_at_top_of_atmosphere_model,Net Downward Flux at Top of Model,6&2&,40&14&,time: point,
ccb,cfSites,air_pressure_at_convective_cloud_base,Air Pressure at Convective Cloud Base,0&,40&14&,time: point,
cct,cfSites,air_pressure_at_convective_cloud_top,Air Pressure at Convective Cloud Top,0&,40&14&,time: point,
ci,cfSites,convection_time_fraction,Fraction of Time Convection Occurs,9&,40&14&,time: point,
sci,cfSites,shallow_convection_time_fraction,Fraction of Time Shallow Convection Occurs,9&,40&14&,time: point,
fco2antt,cfSites,tendency_of_atmosphere_mass_content_of_carbon_dioxide_expressed_as_carbon_due_to_anthropogenic_emission,Carbon Mass Flux into Atmosphere Due to All Anthropogenic Emissions of CO2,1&2&3&,40&14&,time: point,
fco2fos,cfSites,tendency_of_atmosphere_mass_content_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_fossil_fuel_combustion,Carbon Mass Flux into Atmosphere Due to Fossil Fuel Emissions of CO2,1&2&3&,40&14&,time: point,
fco2nat,cfSites,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_natural_sources,Surface Carbon Mass Flux into the Atmosphere Due to Natural Sources,1&2&3&,40&14&,time: point,
cl,cfSites,cloud_area_fraction_in_atmosphere_layer,Cloud Area Fraction,7&,15&40&14&,time: point,
clw,cfSites,mass_fraction_of_cloud_liquid_water_in_air,Mass Fraction of Cloud Liquid Water,9&,15&40&14&,time: point,
cli,cfSites,mass_fraction_of_cloud_ice_in_air,Mass Fraction of Cloud Ice,9&,15&40&14&,time: point,
mc,cfSites,atmosphere_net_upward_convective_mass_flux,Convective Mass Flux,1&2&3&,26&40&14&,time: point,
ta,cfSites,air_temperature,Air Temperature,4&,15&40&14&,time: point,
ua,cfSites,eastward_wind,Eastward Wind,5&3&,15&40&14&,time: point,
va,cfSites,northward_wind,Northward Wind,5&3&,15&40&14&,time: point,
hus,cfSites,specific_humidity,Specific Humidity,9&,15&40&14&,time: point,
hur,cfSites,relative_humidity,Relative Humidity,7&,15&40&14&,time: point,
wap,cfSites,lagrangian_tendency_of_air_pressure,omega (=dp/dt),0&3&,15&40&14&,time: point,
zg,cfSites,geopotential_height,Geopotential Height,5&,15&40&14&,time: point,
rlu,cfSites,upwelling_longwave_flux_in_air,Upwelling Longwave Radiation,6&2&,26&40&14&,time: point,
rsu,cfSites,upwelling_shortwave_flux_in_air,Upwelling Shortwave Radiation,6&2&,26&40&14&,time: point,
rld,cfSites,downwelling_longwave_flux_in_air,Downwelling Longwave Radiation,6&2&,26&40&14&,time: point,
rsd,cfSites,downwelling_shortwave_flux_in_air,Downwelling Shortwave Radiation,6&2&,26&40&14&,time: point,
rlucs,cfSites,upwelling_longwave_flux_in_air_assuming_clear_sky,Upwelling Clear-Sky Longwave Radiation,6&2&,26&40&14&,time: point,
rsucs,cfSites,upwelling_shortwave_flux_in_air_assuming_clear_sky,Upwelling Clear-Sky Shortwave Radiation,6&2&,26&40&14&,time: point,
rldcs,cfSites,downwelling_longwave_flux_in_air_assuming_clear_sky,Downwelling Clear-Sky Longwave Radiation,6&2&,26&40&14&,time: point,
rsdcs,cfSites,downwelling_shortwave_flux_in_air_assuming_clear_sky,Downwelling Clear-Sky Shortwave Radiation,6&2&,26&40&14&,time: point,
tntmp,cfSites,tendency_of_air_temperature_due_to_model_physics,Tendency of Air Temperature due to Diabatic Processes,4&3&,15&40&14&,time: point,
tntc,cfSites,tendency_of_air_temperature_due_to_convection,Tendency of Air Temperature due to Moist Convection,4&3&,15&40&14&,time: point,
tnhus,cfSites,tendency_of_specific_humidity,Tendency of Specific Humidity,3&,15&40&14&,time: point,
evu,cfSites,atmosphere_momentum_diffusivity,Eddy Viscosity Coefficient for Momentum Variables,15&3&,15&40&14&,time: point,
edt,cfSites,atmosphere_heat_diffusivity,Eddy Diffusivity Coefficient for Temperature Variable,15&3&,15&40&14&,time: point,
pfull,cfSites,air_pressure,Pressure on Model Levels,0&,15&40&14&,time: point,
phalf,cfSites,air_pressure,Pressure on Model Half-Levels,0&,26&40&14&,time: point,
longitude,cfSites,longitude,Longitude,17&,40&,,360.0
sic,OImon,sea_ice_area_fraction,Sea Ice Area Fraction,7&,0&1&2&,time: mean,166.1
sit,OImon,sea_ice_thickness,Sea Ice Thickness,5&,0&1&2&,time: mean area: mean where sea,104.4
sim,OImon,sea_ice_and_surface_snow_amount,Sea Ice Plus Surface Snow Amount,1&2&,0&1&2&,time: mean area: mean where sea,
evap,OImon,water_evaporation_flux,Water Evaporation Flux from Sea Ice,1&2&3&,0&1&2&,time: mean area: mean where sea_ice over sea,
snd,OImon,surface_snow_thickness,Snow Depth,5&,0&1&2&,time: mean area: mean where sea,
snc,OImon,surface_snow_area_fraction,Surface Snow Area Fraction,7&,0&1&2&,time: mean,
ialb,OImon,sea_ice_albedo,Sea Ice Albedo,9&,0&1&2&,time: mean area: mean where sea_ice,
ssi,OImon,sea_ice_salinity,Sea Ice Salinity,20&,0&1&2&,time: mean (weighted by mass of sea ice),
tsice,OImon,surface_temperature,Surface Temperature of Sea Ice,4&,0&1&2&,time: mean (weighted by area of sea ice),
tsnint,OImon,sea_ice_surface_temperature,Temperature at Interface Between Sea Ice and Snow,4&,0&1&2&,time: mean (weighted by area of snow-covered sea ice),
pr,OImon,rainfall_flux,Surface Rainfall Rate into the Sea Ice Portion of the Grid Cell,1&2&3&,0&1&2&,time: mean area: mean where sea_ice over sea,
prsn,OImon,snowfall_flux,Surface Snowfall Rate into the Sea Ice Portion of the Grid Cell,1&2&3&,0&1&2&,time: mean area: mean where sea_ice over sea,
ageice,OImon,age_of_sea_ice,Age of Sea Ice,21&,0&1&2&,time: mean (weighted b mass of sea ice),
grFrazil,OImon,tendency_of_sea_ice_amount_due_to_frazil_ice_accumulation_in_leads,Frazil Sea Ice Growth (Leads) Rate,1&2&3&,0&1&2&,time: mean area: mean where sea,
grCongel,OImon,tendency_of_sea_ice_amount_due_to_congelation_ice_accumulation,Congelation Sea Ice Growth Rate,1&2&3&,0&1&2&,time: mean area: mean where sea,
grLateral,OImon,tendency_of_sea_ice_amount_due_to_lateral_growth_of_ice_floes,Lateral Sea Ice Growth Rate,1&2&3&,0&1&2&,time: mean area: mean where sea,
snoToIce,OImon,tendency_of_sea_ice_amount_due_to_snow_conversion,Snow-Ice Formation Rate,1&2&3&,0&1&2&,time: mean area: mean where sea,
snomelt,OImon,surface_snow_melt_flux,Snow Melt Rate,1&2&3&,0&1&2&,time: mean area: mean where sea,
tmelt,OImon,tendency_of_sea_ice_amount_due_to_surface_melting,Rate of Melt at Upper Surface of Sea Ice,1&2&3&,0&1&2&,time: mean area: mean where sea,
bmelt,OImon,tendency_of_sea_ice_amount_due_to_basal_melting,Rate of Melt at Sea Ice Base,1&2&3&,0&1&2&,time: mean area: mean where sea,
hcice,OImon,integral_of_sea_ice_temperature_wrt_depth_expressed_as_heat_content,Sea Ice Heat Content,22&2&,0&1&2&,time: mean (weighted by mass of sea ice),
rsdssi,OImon,surface_downwelling_shortwave_flux_in_air,Downwelling Shortwave over Sea Ice,6&2&,0&1&2&,time: mean area: mean where sea_ice over sea,
rsussi,OImon,surface_upwelling_shortwave_flux_in_air,Upward Shortwave over Sea Ice,6&2&,0&1&2&,time: mean area: mean where sea_ice over sea,
rldssi,OImon,surface_downwelling_longwave_flux_in_air,Downwelling Long Wave over Sea Ice,6&2&,0&1&2&,time: mean area: mean where sea_ice over sea,
rlussi,OImon,surface_upwelling_longwave_flux_in_air,Upward Long Wave over Sea Ice,6&2&,0&1&2&,time: mean area: mean where sea_ice over sea,
hfssi,OImon,surface_upward_sensible_heat_flux,Surface Upward Sensible Heat Flux over Sea Ice,6&2&,0&1&2&,time: mean area: mean where sea_ice over sea,
hflssi,OImon,surface_upward_latent_heat_flux,Surface Upward Latent Heat Flux over Sea Ice,6&2&,0&1&2&,time: mean area: mean where sea_ice over sea,
sblsi,OImon,surface_snow_and_ice_sublimation_flux,Sublimation over Sea Ice,1&2&3&,0&1&2&,time: mean area: mean where sea_ice over sea,
transix,OImon,sea_ice_x_transport,X-Component of Sea Ice Mass Transport,1&3&,0&1&2&,time: mean,
transiy,OImon,sea_ice_y_transport,Y-Component of Sea Ice Mass Transport,1&3&,0&1&2&,time: mean,
transifs,OImon,sea_ice_transport_across_line,Sea Ice Mass Transport Through Fram Strait,1&3&,2&,time: mean,
strairx,OImon,surface_downward_x_stress,X-Component of Atmospheric Stress On Sea Ice,23&2&,0&1&2&,time: mean (weighted by area of sea ice),
strairy,OImon,surface_downward_y_stress,Y-Component of Atmospheric Stress On Sea Ice,23&2&,0&1&2&,time: mean (weighted by area of sea ice),
strocnx,OImon,upward_x_stress_at_sea_ice_base,X-Component of Ocean Stress On Sea Ice,23&2&,0&1&2&,time: mean (weighted by area of sea ice),
strocny,OImon,upward_y_stress_at_sea_ice_base,Y-Component of Ocean Stress On Sea Ice,23&2&,0&1&2&,time: mean (weighted by area of sea ice),
streng,OImon,compressive_strength_of_sea_ice,Compressive Sea Ice Strength,23&24&,0&1&2&,time: mean (weighted by area of sea ice),
divice,OImon,divergence_of_sea_ice_velocity,Strain Rate Divergence of Sea Ice,3&,0&1&2&,time: mean (weighted by area of sea ice),
eshrice,OImon,eastward_derivative_of_northward_sea_ice_velocity,Eastward Derivative of Northward Sea Ice Velocity,3&,0&1&2&,time: mean (weighted by area of sea ice),
nshrice,OImon,northward_derivative_of_eastward_sea_ice_velocity,Northward Derivative of Eastward Sea Ice Velocity,3&,0&1&2&,time: mean (weighted by area of sea ice),
orog,aero,surface_altitude,Surface Altitude,5&,0&1&,,1.00E+04
ps,aero,surface_air_pressure,Surface Air Pressure,0&,0&1&2&,time: mean,
od550aer,aero,atmosphere_optical_thickness_due_to_ambient_aerosol,Ambient Aerosol Optical Thickness at 550 nm,9&,0&1&2&,time: mean,
od550lt1aer,aero,atmosphere_optical_thickness_due_to_pm1_ambient_aerosol,Ambient Fine Aerosol Optical Thickness at 550 nm,9&,0&1&2&,time: mean,
abs550aer,aero,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol,Ambient Aerosol Absorption Optical Thickness at 550 nm,9&,0&1&2&,time: mean,
od870aer,aero,atmosphere_optical_thickness_due_to_ambient_aerosol,Ambient Aerosol Optical Thickness at 870 nm,9&,0&1&2&,time: mean,
emioa,aero,tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_due_to_net_chemical_production_and_emission,Rate of Emission and Production of Dry Aerosol Total Organic Matter,1&2&3&,0&1&2&,time: mean,
emipoa,aero,tendency_of_atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol_due_to_emission,Emission Rate of Dry Aerosol Primary Organic Matter,1&2&3&,0&1&2&,time: mean,
chepsoa,aero,tendency_of_atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol_due_to_net_chemical_production,Production Rate of Dry Aerosol Secondary Organic Matter,1&2&3&,0&1&2&,time: mean,
emibc,aero,tendency_of_atmosphere_mass_content_of_black_carbon_dry_aerosol_due_to_emission,Emission Rate of Black Carbon Aerosol Mass,1&2&3&,0&1&2&,time: mean,
dryoa,aero,tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_due_to_dry_deposition,Dry Deposition Rate of Dry Aerosol Organic Matter,1&2&3&,0&1&2&,time: mean,
drypoa,aero,tendency_of_atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol_due_to_dry_deposition,Dry Deposition Rate of Dry Aerosol Primary Organic Matter,1&2&3&,0&1&2&,time: mean,
drysoa,aero,tendency_of_atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol_due_to_dry_deposition,Dry Deposition Rate of Dry Aerosol Secondary Organic Matter,1&2&3&,0&1&2&,time: mean,
drybc,aero,tendency_of_atmosphere_mass_content_of_black_carbon_dry_aerosol_due_to_dry_deposition,Dry Deposition Rate of Black Carbon Aerosol Mass,1&2&3&,0&1&2&,time: mean,
wetoa,aero,tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_due_to_wet_deposition,Wet Deposition Rate of Dry Aerosol Organic Matter,1&2&3&,0&1&2&,time: mean,
wetpoa,aero,tendency_of_atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol_due_to_wet_deposition,Wet Deposition Rate of Dry Aerosol Primary Organic Matter,1&2&3&,0&1&2&,time: mean,
wetsoa,aero,tendency_of_atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol_due_to_wet_deposition,Wet Deposition Rate of Dry Aerosol Secondary Organic Matter,1&2&3&,0&1&2&,time: mean,
wetbc,aero,tendency_of_atmosphere_mass_content_of_black_carbon_dry_aerosol_due_to_wet_deposition,Wet Deposition Rate of Black Carbon Aerosol Mass,1&2&3&,0&1&2&,time: mean,
emibb,aero,tendency_of_atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol_due_to_emission,Total Emission of Primary Aerosol from Biomass Burning,1&2&3&,0&1&2&,time: mean,
emiso2,aero,tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_emission,Total Emission Rate of SO2,1&2&3&,0&1&2&,time: mean,
emiso4,aero,tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_due_to_emission,Total Direct Emission Rate of SO4,1&2&3&,0&1&2&,time: mean,
emidms,aero,tendency_of_atmosphere_mass_content_of_dimethyl_sulfide_due_to_emission,Total Emission Rate of DMS,1&2&3&,0&1&2&,time: mean,
dryso2,aero,tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_dry_deposition,Dry Deposition Rate of SO2,1&2&3&,0&1&2&,time: mean,
dryso4,aero,tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_due_to_dry_deposition,Dry Deposition Rate of SO4,1&2&3&,0&1&2&,time: mean,
drydms,aero,tendency_of_atmosphere_mass_content_of_dimethyl_sulfide_due_to_dry_deposition,Dry Deposition Rate of DMS,1&2&3&,0&1&2&,time: mean,
wetso4,aero,tendency_of_atmosphere_mass_content_of_sulfate_expressed_as_sulfur_dry_aerosol_due_to_wet_deposition,Wet Deposition Rate of SO4,1&2&3&,0&1&2&,time: mean,
wetso2,aero,tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_wet_deposition,Wet Deposition Rate of SO2,1&2&3&,0&1&2&,time: mean,
wetdms,aero,tendency_of_atmosphere_mass_content_of_dimethyl_sulfide_due_to_wet_deposition,Wet Deposition Rate of DMS,1&2&3&,0&1&2&,time: mean,
eminh3,aero,tendency_of_atmosphere_mass_content_of_ammonia_due_to_emission,Total Emission Rate of NH3,1&2&3&,0&1&2&,time: mean,
drynh3,aero,tendency_of_atmosphere_mass_content_of_ammonia_due_to_dry_deposition,Dry Deposition Rate of NH3,1&2&3&,0&1&2&,time: mean,
drynh4,aero,tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_due_to_dry_deposition,Dry Deposition Rate of NH4,1&2&3&,0&1&2&,time: mean,
wetnh4,aero,tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_due_to_wet_deposition,Wet Deposition Rate of NH4+NH3,1&2&3&,0&1&2&,time: mean,
emiss,aero,tendency_of_atmosphere_mass_content_of_seasalt_dry_aerosol_due_to_emission,Total Emission Rate of Seasalt,1&2&3&,0&1&2&,time: mean,
dryss,aero,tendency_of_atmosphere_mass_content_of_seasalt_dry_aerosol_due_to_dry_deposition,Dry Deposition Rate of Seasalt,1&2&3&,0&1&2&,time: mean,
wetss,aero,tendency_of_atmosphere_mass_content_of_seasalt_dry_aerosol_due_to_wet_deposition,Wet Deposition Rate of Seasalt,1&2&3&,0&1&2&,time: mean,
emidust,aero,tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_due_to_emission,Total Emission Rate of Dust,1&2&3&,0&1&2&,time: mean,
drydust,aero,tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_due_to_dry_deposition,Dry Deposition Rate of Dust,1&2&3&,0&1&2&,time: mean,
wetdust,aero,tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_due_to_wet_deposition,Wet Deposition Rate of Dust,1&2&3&,0&1&2&,time: mean,
loadoa,aero,atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol,Load of Dry Aerosol Organic Matter,1&2&,0&1&2&,time: mean,
loadpoa,aero,atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol,Load of Dry Aerosol Primary Organic Matter,1&2&,0&1&2&,time: mean,
loadsoa,aero,atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol,Load of Dry Aerosol Secondary Organic Matter,1&2&,0&1&2&,time: mean,
loadbc,aero,atmosphere_mass_content_of_black_carbon_dry_aerosol,Load of Black Carbon Aerosol,1&2&,0&1&2&,time: mean,
loadso4,aero,atmosphere_mass_content_of_sulfate_dry_aerosol,Load of SO4,1&2&,0&1&2&,time: mean,
loaddust,aero,atmosphere_mass_content_of_dust_dry_aerosol,Load of Dust,1&2&,0&1&2&,time: mean,
loadss,aero,atmosphere_mass_content_of_seasalt_dry_aerosol,Load of Seasalt,1&2&,0&1&2&,time: mean,
loadno3,aero,atmosphere_mass_content_of_nitrate_dry_aerosol,Load of NO3,1&2&,0&1&2&,time: mean,
loadnh4,aero,atmosphere_mass_content_of_ammonium_dry_aerosol,Load of NH4,1&2&,0&1&2&,time: mean,
sconcoa,aero,mass_concentration_of_particulate_organic_matter_dry_aerosol_in_air,Surface Concentration of Dry Aerosol Organic Matter,1&11&,0&1&41&2&,time: mean,
sconcpoa,aero,mass_concentration_of_primary_particulate_organic_matter_dry_aerosol_in_air,Surface Concentration of Dry Aerosol Primary Organic Matter,1&11&,0&1&41&2&,time: mean,
sconcsoa,aero,mass_concentration_of_secondary_particulate_organic_matter_dry_aerosol_in_air,Surface Concentration of Dry Aerosol Secondary Organic Matter,1&11&,0&1&41&2&,time: mean,
sconcbc,aero,mass_concentration_of_black_carbon_dry_aerosol_in_air,Surface Concentration of Black Carbon Aerosol,1&11&,0&1&41&2&,time: mean,
sconcso4,aero,mass_concentration_of_sulfate_dry_aerosol_in_air,Surface Concentration of SO4,1&11&,0&1&41&2&,time: mean,
sconcdust,aero,mass_concentration_of_dust_dry_aerosol_in_air,Surface Concentration of Dust,1&11&,0&1&41&2&,time: mean,
sconcss,aero,mass_concentration_of_seasalt_dry_aerosol_in_air,Surface Concentration of Seasalt,1&11&,0&1&41&2&,time: mean,
sconcno3,aero,mass_concentration_of_nitrate_dry_aerosol_in_air,Surface Concentration of NO3,1&11&,0&1&41&2&,time: mean,
sconcnh4,aero,mass_concentration_of_ammonium_dry_aerosol_in_air,Surface Concentration of NH4,1&11&,0&1&41&2&,time: mean,
