tnsclwbl,cfMon,tendency_of_mass_fraction_of_stratiform_cloud_liquid_water_in_air_due_to_boundary_layer_mixing,Tendency of Mass Fraction of Stratiform Cloud Liquid Water In Air Due To Boundary Layer Mixing,3&,0&1&15&2&,time: mean,
tnsclwbfpcli,cfMon,tendency_of_mass_fraction_of_stratiform_cloud_liquid_water_in_air_due_to_bergeron_findeisen_process_to_cloud_ice,Tendency of Mass Fraction of Stratiform Cloud Liquid Water In Air Due To Bergeron Findeisen Process To Cloud Ice,3&,0&1&15&2&,time: mean,
tnscli,cfMon,tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air,Tendency of Mass Fraction of Stratiform Cloud Ice In Air,3&,0&1&15&2&,time: mean,
tnsclicm,cfMon,tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_cloud_microphysics,Tendency of Mass Fraction of Stratiform Cloud Ice In Air Due To Cloud Microphysics,3&,0&1&15&2&,time: mean,
tnsclibl,cfMon,tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_boundary_layer_mixing,Tendency of Mass Fraction of Stratiform Cloud Ice In Air Due To Boundary Layer Mixing,3&,0&1&15&2&,time: mean,
tnsclibfpcl,cfMon,tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_bergeron_findeisen_process_from_cloud_liquid,Tendency of Mass Fraction of Stratiform Cloud Ice In Air Due To Bergeron Findeisen Process from Cloud Liquid,3&,0&1&15&2&,time: mean,
tnsclicd,cfMon,tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_convective_detrainment,Tendency of Mass Fraction of Stratiform Cloud Ice Due Convective Detrainment,3&,0&1&15&2&,time: mean,
tnsclihon,cfMon,tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_homogeneous_nucleation,Tendency of Mass Fraction of Stratiform Cloud Ice due to Homogeneous Nucleation,3&,0&1&15&2&,time: mean,
tnsclihencl,cfMon,tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_heterogeneous_nucleation_from_cloud_liquid_water,Tendency of Mass Fraction of Stratiform Cloud Ice due to Heterogeneous Nucleation From Cloud Liquid,3&,0&1&15&2&,time: mean,
tnsclihenv,cfMon,tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_heterogeneous_nucleation_from_water_vapor,Tendency of Mass Fraction of Stratiform Cloud Ice due to Heterogeneous Nucleation From Water Vapor,3&,0&1&15&2&,time: mean,
tnscliricl,cfMon,tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_riming_from_cloud_liquid_water,Tendency of Mass Fraction of Stratiform Cloud Ice due to Riming From Cloud Liquid,3&,0&1&15&2&,time: mean,
tnsclirir,cfMon,tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_riming_from_rain,Tendency of Mass Fraction of Stratiform Cloud Ice due to Riming From Rain,3&,0&1&15&2&,time: mean,
tnsclids,cfMon,tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_deposition_and_sublimation,Tendency of Mass Fraction of Stratiform Cloud Ice due to Deposition and Sublimation,3&,0&1&15&2&,time: mean,
tnscliag,cfMon,tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_aggregation,Tendency of Mass Fraction of Stratiform Cloud Ice due to Aggregation,3&,0&1&15&2&,time: mean,
tnsclias,cfMon,tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_accretion_to_snow,Tendency of Mass Fraction of Stratiform Cloud Ice due to Accretion to Snow,3&,0&1&15&2&,time: mean,
tnscliemi,cfMon,tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_evaporation_of_melting_ice,Tendency of Mass Fraction of Stratiform Cloud Ice due to Evaporation of Melting Ice,3&,0&1&15&2&,time: mean,
tnsclimr,cfMon,tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_melting_to_rain,Tendency of Mass Fraction of Stratiform Cloud Ice due to Melting to Rain,3&,0&1&15&2&,time: mean,
tnsclimcl,cfMon,tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_melting_to_cloud_liquid_water,Tendency of Mass Fraction of Stratiform Cloud Ice due to Melting to Cloud Liquid,3&,0&1&15&2&,time: mean,
tnscliif,cfMon,tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_icefall,Tendency of Mass Fraction of Stratiform Cloud Ice due to Icefall,3&,0&1&15&2&,time: mean,
tnsclia,cfMon,tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_advection,Tendency of Mass Fraction of Stratiform Cloud Ice due to Advection,3&,0&1&15&2&,time: mean,
tnsccw,cfMon,tendency_of_mass_fraction_of_stratiform_cloud_condensed_water_in_air,Tendency of Mass Fraction of Stratiform Cloud Condensed Water In Air,3&,0&1&15&2&,time: mean,
tnsccwcm,cfMon,tendency_of_mass_fraction_of_stratiform_cloud_condensed_water_in_air_due_to_cloud_microphysics,Tendency of Mass Fraction of Stratiform Cloud Condensed Water In Air Due To Cloud Microphysics,3&,0&1&15&2&,time: mean,
tnsccwbl,cfMon,tendency_of_mass_fraction_of_stratiform_cloud_condensed_water_in_air_due_to_boundary_layer_mixing,Tendency of Mass Fraction of Stratiform Cloud Condensed Water In Air Due To Boundary Layer Mixing,3&,0&1&15&2&,time: mean,
tnsccwce,cfMon,tendency_of_mass_fraction_of_stratiform_cloud_condensed_water_in_air_due_to_condensation_and_evaporation,Tendency of Mass Fraction of Stratiform Cloud Condensed Water due to Condensation and Evaporation,3&,0&1&15&2&,time: mean,
tnsccwacr,cfMon,tendency_of_mass_fraction_of_stratiform_cloud_condensed_water_in_air_due_to_autoconversion_to_rain,Tendency of Mass Fraction of Stratiform Cloud Condensed Water due to Autoconversion to Rain,3&,0&1&15&2&,time: mean,
tnsccwacs,cfMon,tendency_of_mass_fraction_of_stratiform_cloud_condensed_water_in_air_due_to_autoconversion_to_snow,Tendency of Mass Fraction of Stratiform Cloud Condensed Water due to Autoconversion to Snow,3&,0&1&15&2&,time: mean,
tnsccwif,cfMon,tendency_of_mass_fraction_of_stratiform_cloud_condensed_water_in_air_due_to_icefall,Tendency of Mass Fraction of Stratiform Cloud Condensed Water due to Icefall,3&,0&1&15&2&,time: mean,
tnsccwa,cfMon,tendency_of_mass_fraction_of_stratiform_cloud_condensed_water_in_air_due_to_advection,Tendency of Mass Fraction of Stratiform Cloud Condensed Water due to Advection,3&,0&1&15&2&,time: mean,
rsut4co2,cfMon,toa_outgoing_shortwave_flux,TOA Outgoing Shortwave Radiation in 4XCO2 Atmosphere,6&2&,0&1&2&,time: mean,
rlut4co2,cfMon,toa_outgoing_longwave_flux,TOA Outgoing Longwave Radiation 4XCO2 Atmosphere,6&2&,0&1&2&,time: mean,
rsutcs4co2,cfMon,toa_outgoing_shortwave_flux_assuming_clear_sky,TOA Outgoing Clear-Sky Shortwave Radiation 4XCO2 Atmosphere,6&2&,0&1&2&,time: mean,
rlutcs4co2,cfMon,toa_outgoing_longwave_flux_assuming_clear_sky,TOA Outgoing Clear-Sky Longwave Radiation 4XCO2 Atmosphere,6&2&,0&1&2&,time: mean,
rlu4co2,cfMon,upwelling_longwave_flux_in_air,Upwelling Longwave Radiation 4XCO2 Atmosphere,6&2&,0&1&26&2&,time: mean,
rsu4co2,cfMon,upwelling_shortwave_flux_in_air,Upwelling Shortwave Radiation 4XCO2 Atmosphere,6&2&,0&1&26&2&,time: mean,
rld4co2,cfMon,downwelling_longwave_flux_in_air,Downwelling Longwave Radiation 4XCO2 Atmosphere,6&2&,0&1&26&2&,time: mean,
rsd4co2,cfMon,downwelling_shortwave_flux_in_air,Downwelling Shortwave Radiation 4XCO2 Atmosphere,6&2&,0&1&26&2&,time: mean,
rlucs4co2,cfMon,upwelling_longwave_flux_in_air_assuming_clear_sky,Upwelling Clear-Sky Longwave Radiation 4XCO2 Atmosphere,6&2&,0&1&26&2&,time: mean,
rsucs4co2,cfMon,upwelling_shortwave_flux_in_air_assuming_clear_sky,Upwelling Clear-Sky Shortwave Radiation 4XCO2 Atmosphere,6&2&,0&1&26&2&,time: mean,
rldcs4co2,cfMon,downwelling_longwave_flux_in_air_assuming_clear_sky,Downwelling Clear-Sky Longwave Radiation 4XCO2 Atmosphere,6&2&,0&1&26&2&,time: mean,
rsdcs4co2,cfMon,downwelling_shortwave_flux_in_air_assuming_clear_sky,Downwelling Clear-Sky Shortwave Radiation 4XCO2 Atmosphere,6&2&,0&1&26&2&,time: mean,
cltisccp,cfMon,cloud_area_fraction,ISCCP Total Cloud Fraction,7&,0&1&2&,time: mean,
albisccp,cfMon,cloud_albedo,ISCCP Mean Cloud Albedo,9&,0&1&2&,time: mean,
pctisccp,cfMon,air_pressure_at_cloud_top,ISCCP Mean Cloud Top Pressure,0&,0&1&2&,time: mean,
clisccp,cfMon,isccp_cloud_area_fraction,ISCCP Cloud Area Fraction,7&,0&1&27&10&2&,time: mean,
cltcalipso,cfMon,cloud_area_fraction,CALIPSO Total Cloud Fraction,7&,0&1&2&,time: mean,
cllcalipso,cfMon,cloud_area_fraction_in_atmosphere_layer,CALIPSO Low Level Cloud Fraction,7&,0&1&2&28&,time: mean,
clmcalipso,cfMon,cloud_area_fraction_in_atmosphere_layer,CALIPSO Mid Level Cloud Fraction,7&,0&1&2&29&,time: mean,
clhcalipso,cfMon,cloud_area_fraction_in_atmosphere_layer,CALIPSO High Level Cloud Fraction,7&,0&1&2&30&,time: mean,
clcalipso,cfMon,cloud_area_fraction_in_atmosphere_layer,CALIPSO Cloud Fraction,7&,0&1&31&2&,time: mean,
difvho,Oclim,ocean_vertical_heat_diffusivity,Ocean Vertical Heat Diffusivity,15&3&,0&1&32&33&,time: mean within years time: mean over years,
difvso,Oclim,ocean_vertical_salt_diffusivity,Ocean Vertical Salt Diffusivity,15&3&,0&1&32&33&,time: mean within years time: mean over years,
difvtrbo,Oclim,ocean_vertical_tracer_diffusivity_due_to_background,Ocean Vertical Tracer Diffusivity due to Background,15&3&,0&1&32&33&,time: mean within years time: mean over years,
difvtrto,Oclim,ocean_vertical_tracer_diffusivity_due_to_tides,Ocean Vertical Tracer Diffusivity due to Tides,15&3&,0&1&32&33&,time: mean within years time: mean over years,
tnpeo,Oclim,tendency_of_ocean_potential_energy_content,Tendency of Ocean Potential Energy Content,6&2&,0&1&32&33&,time: mean within years time: mean over years,
tnpeot,Oclim,tendency_of_ocean_potential_energy_content_due_to_tides,Tendency of Ocean Potential Energy Content due to Tides,6&2&,0&1&32&33&,time: mean within years time: mean over years,
tnpeotb,Oclim,tendency_of_ocean_potential_energy_content_due_to_background,Tendency of Ocean Potential Energy Content due to Background,6&2&,0&1&32&33&,time: mean within years time: mean over years,
difvmo,Oclim,ocean_vertical_momentum_diffusivity,Ocean Vertical Momentum Diffusivity,15&3&,0&1&32&33&,time: mean within years time: mean over years,
difvmbo,Oclim,ocean_vertical_momentum_diffusivity_due_to_background,Ocean Vertical Momentum Diffusivity due to Background,15&3&,0&1&32&33&,time: mean within years time: mean over years,
difvmto,Oclim,ocean_vertical_momentum_diffusivity_due_to_tides,Ocean Vertical Momentum Diffusivity due to Tides,15&3&,0&1&32&33&,time: mean within years time: mean over years,
difvmfdo,Oclim,ocean_vertical_momentum_diffusivity_due_to_form_drag,Ocean Vertical Momentum Diffusivity due to Form Drag,15&3&,0&1&32&33&,time: mean within years time: mean over years,
dispkevfo,Oclim,ocean_kinetic_energy_dissipation_per_unit_area_due_to_vertical_friction,Ocean Kinetic Energy Dissipation Per Unit Area due to Vertical Friction,6&2&,0&1&32&33&,time: mean within years time: mean over years,
diftrblo,Oclim,ocean_tracer_bolus_laplacian_diffusivity,Ocean Tracer Bolus Laplacian Diffusivity,15&3&,0&1&32&33&,time: mean within years time: mean over years,
